 , , , , , , , ,ACTURAL, , , , , , , , , , , , , , , , , ,COMMAND, , , , , , , , , 
acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6,acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6
-0.000135969,8.15816e-005,90.0001,0.000108776,89.9999,-8.15816e-005,420,-0.000652695,415,180,8.15818e-005,180,-0.479746,1.34224,-0.875917,-0.0524325,0.0331531,-0.31802,1.80935e-006,2.96173e-007,90,-5.10471e-007,90,3.71445e-006,420,-7.20847e-006,415,180,6.11878e-014,180,-2.37311e-006,1.42387e-006,1.5708,1.89849e-006,1.57079,-1.42387e-006
-0.000135969,8.15816e-005,90.0002,0.000135969,89.9999,-8.15816e-005,419.999,-0.000564889,414.999,180,1.93627e-010,180,-0.469655,1.34491,-0.867845,-0.0438538,0.0321469,-0.322391,0.000164651,2.69514e-005,90.0001,-4.64531e-005,89.9999,0.000338015,420,0.000631614,415,-180,3.34596e-005,180,-2.37311e-006,1.42387e-006,1.5708,2.37311e-006,1.57079,-1.42387e-006
-0.000108776,8.15816e-005,90.0001,0.000163163,89.9999,-8.15816e-005,420,-0.000277743,415,180,8.15819e-005,180,-0.463226,1.34659,-0.871064,-0.038121,0.0280759,-0.325522,0.0006966,0.000114021,90.0003,-0.000196536,89.9996,0.00143007,420,0.00330305,414.999,-180,0.000173382,179.999,-1.89849e-006,1.42387e-006,1.5708,2.84774e-006,1.57079,-1.42387e-006
-0.000163163,8.15816e-005,90.0001,0.000108776,89.9999,0,420,-0.000852036,415,180,0.000108776,180,-0.459335,1.34734,-0.874578,-0.0446915,0.0283969,-0.318574,0.00224361,0.000367197,90.0009,-0.00063303,89.9987,0.00460595,420,0.011782,414.997,-179.999,0.000617489,179.998,-2.84774e-006,1.42387e-006,1.5708,1.89849e-006,1.57079,0
-0.000135969,8.15816e-005,90.0001,8.15816e-005,89.9999,0.000163163,420,-0.0007405,415,180,0.000108775,180,-0.452439,1.3456,-0.869167,-0.0549324,0.0308449,-0.291328,0.00519293,0.000849707,90.002,-0.0014653,89.9971,0.0106606,420,0.0286817,414.993,-179.999,0.00150269,179.995,-2.37311e-006,1.42387e-006,1.5708,1.42387e-006,1.57079,2.84774e-006
-5.43878e-005,8.15816e-005,90.0002,2.71939e-005,89.9997,0.000924592,420,-0.000318087,414.999,180,0.000217551,179.999,-0.427852,1.34448,-0.864125,-0.067292,0.0219215,-0.234063,0.00999703,0.00163521,90.0039,-0.00282125,89.9944,0.0205229,420,0.0569061,414.985,-179.997,0.00298114,179.991,-9.49246e-007,1.42387e-006,1.5708,4.74623e-007,1.57079,1.61372e-005
0.000435102,0.000135969,90.0004,-0.000462296,89.997,0.00707041,420.008,0.00168963,414.998,-180,0.00269225,179.993,-0.316075,1.36584,-0.821716,-0.110025,-0.00438039,-0.0994852,0.0207006,0.00338331,90.0081,-0.00584364,89.9883,0.0424958,420,0.120974,414.969,-179.995,0.00633754,179.98,7.59396e-006,2.37311e-006,1.5708,-8.06859e-006,1.57074,0.000123402
0.00155005,0.000244745,90.0022,-0.00195796,89.9943,0.0195796,420.011,0.00503357,414.986,-179.998,0.00378062,179.982,-0.195972,1.41714,-0.771182,-0.160935,-0.0110287,0.0514815,0.0318032,0.00519367,90.0124,-0.00898062,89.9821,0.0652874,420,0.188225,414.951,-179.992,0.00986122,179.969,2.70535e-005,4.2716e-006,1.57083,-3.41728e-005,1.5707,0.000341728
0.00598265,0.000407908,90.0045,-0.00361679,89.9912,0.0313274,420.012,0.0321711,414.97,-179.996,0.00465213,179.975,-0.0536483,1.46395,-0.737723,-0.205605,-0.00529898,0.113755,0.0431078,0.00703389,90.0168,-0.0121766,89.9757,0.0884928,420,0.257148,414.933,-179.989,0.0134731,179.958,0.000104417,7.11934e-006,1.57088,-6.31248e-005,1.57064,0.000546765
